name,gamma
substituted_benzene_para_0,11012.91
substituted_benzene_para_1,14410.38
substituted_benzene_para_10,13482.02
substituted_benzene_para_100,23239.83
substituted_benzene_para_101,8441.383
substituted_benzene_para_102,12974.39
substituted_benzene_para_103,16468.9
substituted_benzene_para_104,13948.6
substituted_benzene_para_105,14628.47
substituted_benzene_para_106,10593.34
substituted_benzene_para_107,19273.43
substituted_benzene_para_108,26458.79
substituted_benzene_para_109,13995.5
substituted_benzene_para_11,22363.94
substituted_benzene_para_110,15243.38
substituted_benzene_para_111,19193.35
substituted_benzene_para_112,37126.18
substituted_benzene_para_113,8423.218
substituted_benzene_para_114,11583.27
substituted_benzene_para_115,17855.02
substituted_benzene_para_116,13104.49
substituted_benzene_para_117,13675.16
substituted_benzene_para_118,21277.0
substituted_benzene_para_119,16375.03
substituted_benzene_para_12,24630.92
substituted_benzene_para_13,21989.92
substituted_benzene_para_14,20228.59
substituted_benzene_para_15,19049.28
substituted_benzene_para_16,16914.51
substituted_benzene_para_17,16253.64
substituted_benzene_para_18,26743.14
substituted_benzene_para_19,34376.57
substituted_benzene_para_2,16466.27
substituted_benzene_para_20,8101.791
substituted_benzene_para_21,7986.986
substituted_benzene_para_22,20801.0
substituted_benzene_para_23,11308.7
substituted_benzene_para_24,14956.06
substituted_benzene_para_25,14187.75
substituted_benzene_para_26,34256.06
substituted_benzene_para_27,15403.0
substituted_benzene_para_28,18953.05
substituted_benzene_para_29,14664.92
substituted_benzene_para_3,10368.39
substituted_benzene_para_30,33357.14
substituted_benzene_para_31,17863.61
substituted_benzene_para_32,15432.07
substituted_benzene_para_33,12706.55
substituted_benzene_para_34,20365.87
substituted_benzene_para_35,43795.83
substituted_benzene_para_36,10502.0
substituted_benzene_para_37,31169.75
substituted_benzene_para_38,10598.07
substituted_benzene_para_39,9500.086
substituted_benzene_para_4,18248.12
substituted_benzene_para_40,27848.21
substituted_benzene_para_41,16527.84
substituted_benzene_para_42,25126.27
substituted_benzene_para_43,39588.49
substituted_benzene_para_44,18806.16
substituted_benzene_para_45,24010.96
substituted_benzene_para_46,7186.141
substituted_benzene_para_47,6209.763
substituted_benzene_para_48,15904.13
substituted_benzene_para_49,14998.72
substituted_benzene_para_5,16433.4
substituted_benzene_para_50,35935.71
substituted_benzene_para_51,10015.29
substituted_benzene_para_52,8200.601
substituted_benzene_para_53,12462.49
substituted_benzene_para_54,15387.33
substituted_benzene_para_55,11650.62
substituted_benzene_para_56,21050.38
substituted_benzene_para_57,12282.43
substituted_benzene_para_58,13891.75
substituted_benzene_para_59,18057.84
substituted_benzene_para_6,11539.22
substituted_benzene_para_60,29127.85
substituted_benzene_para_61,44176.35
substituted_benzene_para_62,11790.54
substituted_benzene_para_63,22822.23
substituted_benzene_para_64,18509.14
substituted_benzene_para_65,15183.91
substituted_benzene_para_66,16730.09
substituted_benzene_para_67,14169.51
substituted_benzene_para_68,19374.17
substituted_benzene_para_69,5305.674
substituted_benzene_para_7,17088.25
substituted_benzene_para_70,9548.566
substituted_benzene_para_71,6911.44
substituted_benzene_para_72,21623.6
substituted_benzene_para_73,25751.31
substituted_benzene_para_74,9611.369
substituted_benzene_para_75,15712.24
substituted_benzene_para_76,22471.83
substituted_benzene_para_77,12904.36
substituted_benzene_para_78,20704.55
substituted_benzene_para_79,13687.61
substituted_benzene_para_8,15715.74
substituted_benzene_para_80,14170.05
substituted_benzene_para_81,12265.76
substituted_benzene_para_82,12052.66
substituted_benzene_para_83,16105.65
substituted_benzene_para_84,23294.88
substituted_benzene_para_85,17266.97
substituted_benzene_para_86,10888.55
substituted_benzene_para_87,18576.7
substituted_benzene_para_88,27140.13
substituted_benzene_para_89,16836.16
substituted_benzene_para_9,12248.08
substituted_benzene_para_90,26047.52
substituted_benzene_para_91,16087.2
substituted_benzene_para_92,12991.85
substituted_benzene_para_93,9173.878
substituted_benzene_para_94,24458.28
substituted_benzene_para_95,12272.36
substituted_benzene_para_96,17091.33
substituted_benzene_para_97,13891.6
substituted_benzene_para_98,7927.95
substituted_benzene_para_99,12575.3
